code,platform,module,variant,level,description,en_implication,en_solution,zh_implication,zh_solution,de_implication,de_solution,fr_implication,fr_solution,it_implication,it_solution,ja_implication,ja_solution,es_implication,es_solution,cs_implication,cs_solution,ko_implication,ko_solution,sk_implication,sk_solution,pl_implication,pl_solution,nl_implication,nl_solution,da_implication,da_solution,sr_implication,sr_solution,sv_implication,sv_solution,sl_implication,sl_solution,pt_implication,pt_solution,hu_implication,hu_solution,hr_implication,hr_solution,no_implication,no_solution,fi_implication,fi_solution,ro_implication,ro_solution,bg_implication,bg_solution,et_implication,et_solution,lv_implication,lv_solution,lt_implication,lt_solution
114,3,motor,STATE_114,3,左前轮毂电机堵转,The left front wheel hub motor stalled,Robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the left front wheels run well,左前轮毂电机堵转,机器或轮毂卡住，请检查Robot是否被障碍卡住以及左前轮状态；,Linker vorderer Nabenmotor ist blockiert,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des linken Vorderrads;",Moteur du moyeu avant gauche bloqué,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue avant gauche ;,Motore del mozzo anteriore sinistro in stallo,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota anteriore sinistra;,,,Motor del buje delantero izquierdo parado,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y verifique el estado de la rueda delantera izquierda.,Motor levého předního kola je zablokovaný,Robot nebo kolo uvízly. Zkontrolujte robot a zda se levé přední kolo dobře otáčí,,,Motor ľavého predného kolesa je zablokovaný,Robot alebo koleso uviazli. Skontrolujte robot a či sa ľavé predné koleso dobre otáča,Zablokowany silnik lewego koła przedniego,"Robot utknęła, sprawdź lewe przednie koło",Linker voornaafmotor vastgelopen,De machine of hub zit vast. Controleer of robot vastzit door obstakels en de staat van het linker voorwiel,Den venstre forhjulsmotor gik i stå,"Robot eller hjulnav sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om venstre forhjul kører godt",,,Vänster framhjulsnavsmotor stannade,Robot eller hjulnav har fastnat. Kontrollera om roboten fastnar av hinder och om de vänstra framhjulen går bra,Motor levega sprednjega kolesa se je ustavil,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali leva sprednja kolesa dobro tečejo.",,,,,,,,,,,,,,,,,,,,
115,3,motor,STATE_115,3,左前轮毂电机霍尔传感器错误,The Hall sensor on the left front wheel hub error,"Restart the robot. If the issue persists, contact the after-sales support",左前轮毂电机霍尔传感器错误,请重启Robot，若多次重启无效，请联系售后,Fehler im Hallwandler des linken vorderen Nabenmotors,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Erreur du transducteur Hall du moteur du moyeu avant gauche,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Errore trasduttore Hall motore del mozzo anteriore sinistro,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,Error del transductor Hall del motor del buje delantero izquierdo,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Chyba Hallova senzoru levého předního kola,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Chyba Hallovho senzora ľavého predného kolesa,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Błąd przetwornika Halla silnika lewego koła przedniego,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",Hall-sensorfout linker voornaafmotor,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met onze na-verkoop",Hall-sensoren på venstre forhjulsmotor fejl,"robotten. Hvis problemet fortsætter, skal du kontakte support",,,Fel i Hall-sensorn på vänster framhjulsnav,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Napaka Hallovega senzorja na levem sprednjem kolesnu,"Ponovno zaženite napravo robot. Če se težava nadaljuje, se obrnite na poprodajno podporo",,,,,,,,,,,,,,,,,,,,
116,3,motor,STATE_116,1,左前轮毂电机传感器失效,Left front wheel hub motor sensor failed,"Restart the robot. If the issue persists, contact the after-sales support",左前轮毂电机传感器失效,请重启Robot，若多次重启无效，请联系售后,Der Sensor für den linken vorderen Radnabenmotor ist ausgefallen,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Le capteur du moteur de la roue avant gauche est défectueux,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Il sensore del motore della ruota anteriore sinistra è guasto,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,El sensor del motor del cubo de la rueda delantera izquierda ha fallado,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Snímač motoru levého předního kola selhal,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Snímač motora ľavého predného kolesa zlyhal,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Czujnik silnika lewej przedniej piasty koła jest uszkodzony,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",Motorsensor linker voorwiel is defect,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met de klantenservice.",Venstre forhjulsmotor sensor mislykkedes,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte support",,,Vänster framhjulsnavsmotorsensor misslyckades,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Senzor motorja levega sprednjega kolesa ni deloval,"Ponovno zaženite napravo robot. Če se težava nadaljuje, se obrnite na poprodajno podporo",,,,,,,,,,,,,,,,,,,,
121,3,motor,STATE_121,1,右前轮毂电机温度过高,The right front wheel hub motor is overheating,The robot will come back to normal once the motor temperature decreases. This may take several minutes,右前轮毂电机温度过高,温度下降后设备将恢复正常，该过程可能需要几分钟,Temperatur im rechten vorderen Nabenmotor zu hoch,"Das Gerät normalisiert sich wieder, nachdem die Temperatur gefallen ist, und dieser Vorgang kann mehrere Minuten dauern",Température du moteur du moyeu avant droit trop élevée,Le dispositif reviendra à la normale après une baisse de la température et ce processus peut prendre plusieurs minutes.,Temperatura del motore del mozzo anteriore destro troppo alta,"Il dispositivo tornerà alla normalità al calo della temperatura, e questo processo potrebbe richiedere diversi minuti",,,Temperatura del motor del buje delantero derecho demasiado alta,El dispositivo volverá a la normalidad después de que baje la temperatura y este proceso puede tardar varios minutos,Teplota motoru pravého předního kola je příliš vysoká,"Robot se vrátí do normálu, jakmile teplota motoru klesne. To může trvat několik minut",,,Teplota motora pravého predného kolesa je príliš vysoká,"Robot sa vráti do normálu, akonáhle teplota motora klesne. To môže trvať niekoľko minút",Zbyt wysoka temperatura silnika prawego koła przedniego,"robot powróci do pracy po spadku temperatury, co może potrwać kilka minut",Rechter voornaafmotortemperatuur te hoog,"Robot zal weer normaal functioneren wanneer de temperatuur daalt, dit kan enkele minuten duren.",højre forhjulsmotor er overophedet,"Robotten vender tilbage til normal, når motortemperaturen falder. Dette kan tage flere minutter",,,Höger framhjulsnavsmotor är överhettad,Roboten kommer att återgå till det normala när motortemperaturen sjunker. Det här kan ta flera minuter,Motor desnega sprednjega kolesa se pregreva,"Robot se bo normalizirala, ko se bo temperatura motorja znižala. To lahko traja nekaj minut",,,,,,,,,,,,,,,,,,,,
122,3,motor,STATE_122,1,右前轮毂电机温度过低,The temperature of the right front wheel hub is too low,The ambient temperature is too low. Recommended to operate the robot above -10°C.,右前轮毂电机温度过低,环境温度过低，建议让Robot在高于-10摄氏度的作业环境下作业,Temperatur im rechten vorderen Nabenmotor zu niedrig,"Die Umgebungstemperatur ist zu niedrig. Es wird empfohlen, dass Roboter in einer Umgebung über -10 °C arbeitet",Température du moteur du moyeu avant droit trop basse,La température ambiante est trop basse. Il est recommandé que robot fonctionne dans une température ambiante supérieure à -10 °C.,Temperatura del motore del mozzo anteriore destro troppo bassa,La temperatura ambiente è troppo bassa. Si raccomanda che robot lavori in un ambiente con temperatura superiore a -10 gradi Celsius,,,Temperatura del motor del buje delantero derecho demasiado baja,La temperatura ambiente es demasiado baja. Se recomienda que robot funcione en un entorno superior a –10 grados Celsius,Teplota motoru pravého předního kola je příliš nízká,Okolní teplota je příliš nízká. robot může pracovat při teplotě prostředí nad -10 °C,,,Teplota motora pravého predného kolesa je príliš nízka,Okolitá teplota je príliš nízka. Robot môže pracovať pri teplote prostredie nad -10 °C,Zbyt niska temperatura silnika prawego koła przedniego,"Temperatura otoczenia jest zbyt niska. Zaleca się, aby robot pracowała w środowisku powyżej -10°C",Rechter voornaafmotortemperatuur te laag,De temperatuur is te laag. Het wordt aanbevolen dat robot maait in een omgeving boven -10°C,Temperaturen på højre forhjulsmotor er for lav,Omgivelsestemperaturen er for lav. Anbefales til at betjene robotten over -10 °C.,,,Temperaturen på det högra framhjulsnavet är för låg,Den omgivande temperaturen är för låg. Rekommenderas för att använda roboten över -10°C.,Temperatura desnega sprednjega kolesa je prenizka,"Temperatura okolice je prenizka. Priporočljivo je, da naprava robot deluje pri temperaturi nad -10 °C.",,,,,,,,,,,,,,,,,,,,
123,3,motor,STATE_123,2,右前轮毂电机过流,The right front wheel hub motor overcurrent,Robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the right front wheels run well,右前轮毂电机过流,机器或轮毂卡住，请检查Robot是否被障碍卡住以及右前轮状态；,Zu hohe Stromstärke im rechten vorderen Nabenmotor,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des rechten Vorderrads;",Surintensité du moteur du moyeu avant droit,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue avant droit ;,Sovracorrente del motore del mozzo anteriore destro,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota anteriore destra;,,,Sobreintensidad en el motor del buje delantero derecho,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y el estado de la rueda delantera derecha.,Motor pravého předního kola je přetížený,Robot nebo kolo uvízly. Zkontrolujte robot a zda se pravé přední kolo dobře otáčí,,,Motor pravého predného kolesa je preťažený,Robot alebo koleso uviazli. Skontrolujte robot a či sa pravé predné koleso dobre otáča,Przeciążenie silnika prawego koła przedniego,"Maszyna jest zablokowana. Sprawdź, czy robot nie utknęła w strefach zakazanych i stan prawego przedniego koła",Rechter voornaafmotor overstroom,De machine of hub zit vast. Controleer of robot vastzit door obstakels en de staat van het rechter voorwiel,Den højre forhjulsmotor er overbelastet,"Robot eller hjulnav sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om det højre forhjul kører godt",,,Höger framhjulsnavsmotor överström,Robot eller hjulnav har fastnat. Kontrollera om roboten fastnar av hinder och om de högra framhjulen går bra,Prevelik tok motorja desnega sprednjega kolesa,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali desna sprednja kolesa dobro delujejo.",,,,,,,,,,,,,,,,,,,,
124,3,motor,STATE_124,3,右前轮毂电机堵转,The right front wheel hub motor stalled,Robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the right front wheels run well,右前轮毂电机堵转,机器或轮毂卡住，请检查Robot是否被障碍卡住以及右前轮状态；,Rechter vorderer Nabenmotor ist blockiert,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des rechten Vorderrads;",Moteur du moyeu avant droit bloqué,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue avant droit ;,Motore del mozzo anteriore destro in stallo,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota anteriore destra;,,,Motor del buje delantero derecho parado,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y el estado de la rueda delantera derecha.,Motor pravého předního kola je zablokovaný,Robot nebo kolo uvízly. Zkontrolujte robot a zda se pravé přední kolo dobře otáčí,,,Motor pravého predného kolesa je zablokovaný,Robot alebo koleso uviazli. Skontrolujte robot a či sa pravé predné koleso dobre otáča,Zablokowany silnik prawego koła przedniego,"Maszyna jest zablokowana. Sprawdź, czy robot nie utknęła w strefach zakazanych i stan prawego przedniego koła",Rechter voornaafmotor vastgelopen,De machine of hub zit vast. Controleer of robot vastzit door obstakels en de staat van het rechter voorwiel;,Højre forhjulsmotor gik i stå,"Robot eller hjulnav sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om det højre forhjul kører godt",,,Höger framhjulsnavsmotor stannade,Robot eller hjulnav har fastnat. Kontrollera om roboten fastnar av hinder och om de högra framhjulen går bra,Motor desnega sprednjega kolesa je zastal,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali desna sprednja kolesa dobro vozijo.",,,,,,,,,,,,,,,,,,,,
125,3,motor,STATE_125,3,右前轮毂电机霍尔传感器错误,The Hall sensor on the right front wheel hub error,"Restart the robot. If the issue persists, contact the after-sales support",右前轮毂电机霍尔传感器错误,请重启Robot，若多次重启无效，请联系售后,Fehler im Hallwandler des rechten vorderen Nabenmotors,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Erreur du transducteur Hall du moteur du moyeu avant droit,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Errore trasduttore Hall motore del mozzo anteriore destro,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,Error del transductor Hall del motor del buje delantero derecho,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Chyba Hallova senzoru pravého předního kola,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Chyba Hallovho senzora pravého predného kolesa,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Błąd przetwornika Halla silnika prawego koła przedniego,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",Hall-sensorfout rechter voornaafmotor,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met onze na-verkoop",Hall-sensoren på højre forhjulsmotor fejl,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte support",,,Fel i Hall-sensorn på höger framhjulsnav,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Napaka Hallovega senzorja na desnem sprednjem kolesu,"Ponovno zaženite robot. Če se težava nadaljuje, se obrnite na poprodajno podporo",,,,,,,,,,,,,,,,,,,,
126,3,motor,STATE_126,1,右前轮毂电机传感器失效,Right front wheel hub motor sensor failed,"Restart the robot. If the issue persists, contact the after-sales support",右前轮毂电机传感器失效,请重启Robot，若多次重启无效，请联系售后,Der Sensor für den rechten vorderen Radnabenmotor ist ausgefallen,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Le capteur du moteur de la roue avant droite est défectueux,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Il sensore del motore della ruota anteriore destra è guasto,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,El sensor del motor del cubo de la rueda delantera derecha ha fallado,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Snímač motoru pravého předního kola selhal,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Snímač motora pravého predného kolesa zlyhal,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Czujnik silnika prawego przedniego piasty koła jest uszkodzony,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",De motorsensor van het rechter voorwiel is defect.,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met de klantenservice.",Højre forhjulsmotor sensor mislykkedes,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte eftersalgssupport",,,Höger framhjulsnavsmotorsensor misslyckades,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Senzor motorja desnega sprednjega kolesa ni deloval,"Ponovno zaženite napravo robot. Če se težava nadaljuje, se obrnite na poprodajno podporo.",,,,,,,,,,,,,,,,,,,,
131,3,motor,STATE_131,1,左后轮毂电机温度过高,The left rear wheel hub motor is overheating,The robot will come back to normal once the motor temperature decreases. This may take several minutes,左后轮毂电机温度过高,温度下降后设备将恢复正常，该过程可能需要几分钟,Temperatur im linken hinteren Nabenmotor zu hoch,"Das Gerät normalisiert sich wieder, nachdem die Temperatur gefallen ist, und dieser Vorgang kann mehrere Minuten dauern",Température du moteur du moyeu arrière gauche trop élevée,Le dispositif reviendra à la normale après une baisse de la température et ce processus peut prendre plusieurs minutes.,Temperatura del motore del mozzo posteriore sinistro troppo alta,"Il dispositivo tornerà alla normalità al calo della temperatura, e questo processo potrebbe richiedere diversi minuti",,,Temperatura del motor del buje trasero izquierdo demasiado alta,El dispositivo volverá a la normalidad después de que baje la temperatura y este proceso puede tardar varios minutos,Teplota motoru levého zadního kola je příliš vysoká,"Robot se vrátí do normálu, jakmile teplota motoru klesne. To může trvat několik minut",,,Teplota motora ľavého zadného kolesa je príliš vysoká,"Robot sa vráti do normálu, akonáhle teplota motora klesne. To môže trvať niekoľko minút",Zbyt wysoka temperatura silnika lewego koła tylnego,"Robot powróci do pracy po spadku temperatury, co może potrwać kilka minut",Temperatuur linker achternaafmotor te hoog,"Robot zal weer normaal functioneren wanneer de temperatuur daalt, dit kan enkele minuten duren.",Den venstre baghjulsmotor er overophedet,"Robotten vender tilbage til normal, når motortemperaturen falder. Dette kan tage flere minutter",,,Vänster bakhjulsnavsmotor är överhettad,Roboten kommer att återgå till det normala när motortemperaturen sjunker. Det här kan ta flera minuter,Motor levega zadnjega kolesa se pregreva,"Robot se bo normalizirala, ko se bo temperatura motorja znižala. To lahko traja nekaj minut",,,,,,,,,,,,,,,,,,,,
132,3,motor,STATE_132,1,左后轮毂电机温度过低,The temperature of the left rear wheel hub is too low,The ambient temperature is too low. Recommended to operate the robot above -10°C.,左后轮毂电机温度过低,环境温度过低，建议让Robot在高于-10摄氏度的作业环境下作业,Temperatur im linken hinteren Nabenmotor zu niedrig,"Die Umgebungstemperatur ist zu niedrig. Es wird empfohlen, dass Roboter in einer Umgebung über -10 °C arbeitet",Température du moteur du moyeu arrière gauche trop basse,La température ambiante est trop basse. Il est recommandé que robot fonctionne dans une température ambiante supérieure à -10 °C.,Temperatura del motore del mozzo posteriore sinistro troppo bassa,La temperatura ambiente è troppo bassa. Si raccomanda che robot lavori in un ambiente con temperatura superiore a -10 gradi Celsius,,,Temperatura del motor del buje trasero izquierdo demasiado baja,La temperatura ambiente es demasiado baja. Se recomienda que robot funcione en un entorno superior a –10 grados Celsius,Teplota motoru levého zadního kola je příliš nízká,Okolní teplota je příliš nízká. robot může pracovat při teplotě prostředí nad -10 °C,,,Teplota motora ľavého zadného kolesa je príliš nízka,Okolitá teplota je príliš nízka. Robot môže pracovať pri teplote prostredie nad -10 °C,Zbyt niska temperatura silnika lewego koła tylnego,"Temperatura otoczenia jest zbyt niska. Zaleca się, aby robot pracowała w środowisku powyżej -10°C",Temperatuur linker achternaafmotor te laag,De temperatuur is te laag. Het wordt aanbevolen dat robot maait in een omgeving boven -10°C,Temperaturen på venstre baghjulmotor er for lav,Omgivelsestemperaturen er for lav. Anbefales til at betjene robotten over -10 °C.,,,Temperaturen på det vänstra bakhjulsnavet är för låg,Den omgivande temperaturen är för låg. Rekommenderas för att använda roboten över -10°C.,Temperatura levega zadnjega kolesa je prenizka,"Temperatura okolice je prenizka. Priporočljivo je, da naprava robot deluje pri temperaturi nad -10 °C.",,,,,,,,,,,,,,,,,,,,
133,3,motor,STATE_133,2,左后轮毂电机过流,The left rear wheel hub motor overcurrent,The robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the left rear wheels run well,左后轮毂电机过流,机器或轮毂卡住，请检查Robot是否被障碍卡住以及左后轮状态；,Zu hohe Stromstärke im linken hinteren Nabenmotor,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des linken Hinterrads;",Surintensité du moteur du moyeu arrière gauche,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue arrière gauche ;,Sovracorrente del motore del mozzo posteriore sinistro,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota posteriore sinistra;,,,Sobreintensidad del motor del buje trasero izquierdo,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y el estado de la rueda trasera izquierda;,Motor levého zadního kola je přetížený,Robot nebo kolo uvízly. Zkontrolujte robot a zda se levé zadní kolo dobře otáčí,,,Motor ľavého zadného kolesa je preťažený,Robot alebo koleso uviazli. Skontrolujte robot a či sa ľavé zadné koleso dobre otáča,Przeciążenie silnika lewego koła tylnego,"Maszyna jest zablokowana. Sprawdź, czy robot nie utknęła w strefach zakazanych i stan lewego tylnego koła",Linker achternaafmotor overstroom,De machine of hub zit vast. Controleer of robot vastzit door obstakels en de staat van het linker voorwiel,Overbelastning af venstre baghjulsmotor,"Robotten eller hjulnavet sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om venstre baghjul kører godt",,,Vänster bakhjulsnavsmotor överström,Roboten eller hjulnavet har fastnat. Kontrollera om roboten fastnar av hinder och om de vänstra bakhjulen går bra,Prevelik tok motorja levega zadnjega kolesa,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali leva zadnja kolesa dobro delujejo.",,,,,,,,,,,,,,,,,,,,
134,3,motor,STATE_134,3,左后轮毂电机堵转,The left rear wheel hub motor stalled,Robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the left rear wheels run well,左后轮毂电机堵转,机器或轮毂卡住，请检查Robot是否被障碍卡住以及左后轮状态；,Linker hinterer Nabenmotor blockiert,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des linken Hinterrads;",Moteur du moyeu arrière gauche bloqué,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue arrière gauche ;,Motore del mozzo posteriore sinistro in stallo,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota posteriore sinistra;,,,Motor del buje trasero izquierdo parado,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y el estado de la rueda trasera izquierda;,Motor levého zadního kola je zablokovaný,Robot nebo kolo uvízly. Zkontrolujte robot a zda se levé zadní kolo dobře otáčí,,,Motor ľavého zadného kolesa je zablokovaný,Robot alebo koleso uviazli. Skontrolujte robot a či sa ľavé zadné koleso dobre otáča,Zablokowany silnik lewego koła tylnego,"Maszyna jest zablokowana. Sprawdź, czy robot nie utknęła w strefach zakazanych i stan lewego tylnego koła",Linker achternaafmotor vastgelopen,De machine of hub zit vast. Controleer of robot vastzit door obstakels en de staat van het linker voorwiel,Venstre baghjulsmotor gik i stå,"Robotten eller hjulnavet sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om venstre baghjul kører godt",,,Vänster bakhjulsnavsmotor stannade,Robot eller hjulnav har fastnat. Kontrollera om roboten fastnar av hinder och om de vänstra bakhjulen går bra,Motor levega zadnjega kolesa se je ustavil,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali leva zadnja kolesa dobro delujejo.",,,,,,,,,,,,,,,,,,,,
135,3,motor,STATE_135,3,左后轮毂电机霍尔传感器错误,The Hall sensor on the left rear wheel hub error,"Restart the robot. If the issue persists, contact the after-sales support",左后轮毂电机霍尔传感器错误,请重启Robot，若多次重启无效，请联系售后,Fehler im Hallwandler des linken hinteren Nabenmotors,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Erreur du transducteur Hall du moteur du moyeu arrière gauche,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Errore trasduttore Hall motore del mozzo posteriore sinistro,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,Error del transductor Hall del motor del buje trasero izquierdo,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Chyba Hallova senzoru levého zadního kola,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Chyba Hallovho senzora ľavého zadného kolesa,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Błąd przetwornika Halla silnika lewego koła tylnego,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",Linker achternaafmotor Hall transducer fout,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met onze na-verkoop",Hall-sensoren på venstre baghjulsmotor fejl,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte eftersalgssupport",,,Fel på Hall-sensorn på vänster bakhjulsnav,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Napaka Hallovega senzorja na levem zadnjem kolesu,"Ponovno zaženite robot. Če se težava nadaljuje, se obrnite na poprodajno podporo",,,,,,,,,,,,,,,,,,,,
136,3,motor,STATE_136,1,左后轮毂电机传感器失效,Left rear wheel hub motor sensor failed,"Restart the robot. If the issue persists, contact the after-sales support",左后轮毂电机传感器失效,请重启Robot，若多次重启无效，请联系售后,Der Sensor des hinteren Radnabenmotors ist ausgefallen,"Bitte starten Sie Roboter neu. Wenn mehrere Neustarts fehlschlagen, kontaktieren Sie bitte den Kundendienst",Le capteur de moteur de la roue arrière est en panne,"Veuillez redémarrer robot. Si plusieurs redémarrages échouent, veuillez contacter le service après-vente",Il sensore del motore del mozzo posteriore è guasto,"Si prega di riavviare robot. Se diversi riavvii falliscono, si prega di contattare il servizio post-vendita",,,El sensor del motor del cubo de la rueda trasera ha fallado,"Por favor, reinicie robot. Si varios reinicios fallan, por favor, póngase en contacto con el servicio postventa",Snímač motoru levého zadního kola selhal,"Restartujte robot. Pokud problém přetrvává, kontaktujte autorizovaný servis",,,Snímač motora ľavého zadného kolesa zlyhal,"Reštartujte robot. Ak problém pretrváva, kontaktujte autorizovaný servis",Czujnik silnika tylnej piasty się zepsuł,"Uruchom ponownie robot. Jeśli nie działa, skontaktuj się z naszym zespołem obsługi posprzedażnej.",De sensor van de achterwielmotor is defect,"Start robot opnieuw op. Als meerdere herstarts mislukken, neem dan contact op met de klantenservice.",Venstre baghjulsmotor sensor mislykkedes,"Genstart robotten. Hvis problemet fortsætter, skal du kontakte support",,,Vänster bakhjulsnavs motorsensor misslyckades,"Starta om roboten. Om problemet kvarstår, kontakta kundsupporten",Poškodovan senzor motorja levega zadnjega kolesa,"Ponovno zaženite napravo robot. Če se težava nadaljuje, se obrnite na poprodajno podporo.",,,,,,,,,,,,,,,,,,,,
